Word,Count,Senses,Definition,Example
harmonically,12,,with respect to harmony,harmonically interesting piece
harmoniously,12,,in a harmonious manner,the problem of absorbing immigrants harmoniously into British society is as important to the immigrants as to the British
harshly,7,,in a harsh or unkind manner,"`That's enough,' he cut in harshly"
harum-scarum,12,pell-mell,in a wild or reckless manner,dashing harum-scarum all over the place
haughtily,9,,in a haughty manner,he peered haughtily down his nose
hazily,6,,in an indistinct way,he remembered her only hazily
hazily,6,,through a haze,we saw the distant hills hazily
head and shoulders above,24,,outstandingly superior to,in intelligence he was head and shoulders above the others in his class
head over heels,15,heels over head topsy-turvy  topsy-turvily  in great confusion,in disorderly haste,we ran head over heels toward the shelter
headlong,8,headfirst,with the head foremost,the runner slid headlong into third base
headlong,8,rashly,in a hasty and foolhardy manner,he fell headlong in love with his cousin
headlong,8,precipitately,at breakneck speed,burst headlong through the gate
head-on,7,,with the front foremost,the cars collided head-on
head-on,7,,in direct opposition,directly
healthily,9,,in a levelheaded manner,the answers were healthily individual
heaps,5,,very much,
heart and soul,14,body and soul,with complete faith,she was with him heart and soul
heartily,8,,with gusto and without reservation,the boy threw himself heartily into his work
heartily,8,cordially warmly,in a hearty manner,"`Yes,' the children chorused heartily"
heartlessly,11,,in a heartless manner,she behaves rather heartlessly toward her admirers
heatedly,8,hotly,in a heated manner,"`To say I am behind the strike is so much nonsense,' declared Mr Harvey heatedly"
heavenward,10,heavenwards heavenwardly,toward heaven,he pointed heavenward
heavily,7,to a great extent,to a considerable degree,he relied heavily on others' data
heavily,7,intemperately hard,indulging excessively,he drank heavily
heavily,7,,in a labored manner,he breathed heavily
heavily,7,,in a manner designed for heavy duty,a heavily constructed car
heavily,7,,in a heavy-footed manner,he walked heavily up the three flights to his room
heavily,7,,with great force,she hit her arm heavily against the wall
heavy,5,heavily,slowly as if burdened by much weight,time hung heavy on their hands
hebdomadally,12,weekly every week  each week,without missing a week,she visited her aunt weekly
heinously,9,monstrously,in a terribly evil manner,the child was heinously murdered
hell-for-leather,16,,at breakneck speed,they were travelling hell-for-leather
helpfully,9,,in a helpful manner,the subtitles are helpfully conveyed
helplessly,10,impotently,in a helpless manner,the crowd watched him helplessly
helter-skelter,14,every which way,haphazardly,the books were piled up helter-skelter
hence,5,,from this time,a year hence it will be forgotten
hence,5,,from this place,
henceforth,10,henceforward,from this time forth,from now on
here,4,,in or at this place,where the speaker or writer is
here,4,hither,to this place (especially toward the speaker),"come here, please"
here,4,,in this circumstance or respect or on this point or detail,what do we have here?
here,4,,at this time,now
here and there,14,,in or to various places,first this place and then that
hereabout,9,hereabouts,in this general vicinity,the people are friendly hereabouts
hereafter,9,,following this in time or order or place,after this
hereafter,9,,in a future life or state,hope to win salvation hereafter
hereby,6,herewith,(formal) by means of this,
herein,6,,in this place or thing or document,I shall discuss the question herein
hereinafter,11,hereafter hereunde,in a subsequent part of this document or statement or matter etc.,the landlord demises unto the tenant the premises hereinafter called the demised premises
hereof,6,,of or concerning this,the twigs hereof are physic
hereto,6,,to this writing or document,the charts hereto attached
hereupon,8,,immediately after this,"hereupon, the passengers stumbled aboard"
hermetically,12,,in an airtight manner,this bag is hermetically sealed
heroically,10,,in a heroic manner,he become reconciled to not dying heroically in her arms
hesitantly,10,hesitatingly,with hesitation,in a hesitant manner
hideously,9,horridly monstrously,in a hideous manner,her face was hideously disfigured after the accident
hierarchically,14,,in a hierarchical manner,hierarchically organized
hieroglyphically,16,,by means of hieroglyphs,hieroglyphically written
higgledy-piggledy,17,topsy-turvy,in a disordered manner,they were piled up higgledy-piggledy
high,4,high up,at a great altitude,he climbed high on the ladder
high,4,,far up toward the source,he lives high up the river
high,4,,"in or to a high position, amount, or degree",prices have gone up far too high
high,4,richly luxuriously,in a rich manner,he lives high
high and low,12,,everywhere,searched high and low
high-handedly,13,,in a domineering high-handed manner,he behaved high-handedly toward his employees
highly,6,,in a high position or level or rank,details known by only a few highly placed persons
highly,6,extremely,to a high degree or extent,favorably or with much respect
highly,6,,at a high rate or wage,highly paid workers
high-mindedly,13,,in a high-minded manner,"he talks high-mindedly, but we don't know whether he acts according to his principles"
hilariously,11,uproariously,in a hilarious manner,hilariously funny
histologically,14,,involving the use of histology or histological techniques,histologically identifiable structures
historically,12,,with respect to history,this is historically interesting
historically,12,,throughout history,historically they have never coexisted peacefully
hoarsely,8,huskily,in a hoarse or husky voice,"`Excuse me,' he said hoarsely"
hollowly,8,,in a hollow manner,her footsteps echoed hollowly in the empty hall
home,4,,at or to or in the direction of one's home or family,He stays home on weekends
home,4,,to the fullest extent,to the heart
home,4,,on or to the point aimed at,the arrow struck home
homeostatically,15,,in a homeostatic manner,blood pressure is homeostatically regulated
homeward,8,homewards,toward home,fought his way homeward through the deep snow
homogeneously,13,,all similarly,the students at this college are homogeneously middle-class
honestly,8,aboveboard,in an honest manner,"in he can't get it honestly, he is willing to steal it"
honestly,8,candidly frankly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that,
honorably,9,honourably,with honor,he was honorably discharged after many years of service
honorably,9,uprightly,in an honorable manner,he acted honorably
